URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100340,Wendell Park Primary School,Hammersmith and Fulham,36.4,4.3,51.503771,-0.248001
100341,Wormholt Park Primary School,Hammersmith and Fulham,39.1,5.2,51.511441,-0.240184
100344,All Saints CofE Primary School,Hammersmith and Fulham,39.5,3.2,51.412831,-0.087011
100345,Holy Cross RC School,Hammersmith and Fulham,37.6,3.6,51.475947,-0.1975
100346,John Betts Primary School,Hammersmith and Fulham,39.7,3.3,51.498551,-0.237525
100347,St Augustine's RC Primary School,Hammersmith and Fulham,39.6,3.6,51.48428,-0.209615
100349,St Johns Walham Green Church of England Primary School,Hammersmith and Fulham,39.1,4,51.476972,-0.209129
100350,St Mary's Catholic Primary School,Waltham Forest,31.9,3,51.631162,0.003483
100351,St Paul's CofE Primary School,Kingston upon Thames,33.2,3.4,51.369929,-0.303785
100352,St Peter's Primary School,Hammersmith and Fulham,49.2,3.3,51.492047,-0.240959
100353,St Stephen's CofE Primary School,Westminster,48,2.6,51.519037,-0.19505
100354,Good Shepherd RC Primary School,Hammersmith and Fulham,37.7,3.8,51.502886,-0.245259
100355,St John XXIII Catholic Primary School,Hammersmith and Fulham,40.3,3.7,51.511497,-0.233696
100357,St Thomas of Canterbury Catholic Primary School,Merton,35.9,4.4,51.404393,-0.159266
100397,Ambler Primary School and Children's Centre,Islington,42.4,3.2,51.562044,-0.100596
100401,Copenhagen Primary School,Islington,45.7,4.7,51.535627,-0.118809
100402,Drayton Park Primary School,Islington,40.1,4.2,51.551549,-0.105747
100403,Duncombe Primary School,Islington,41.4,5.1,51.56699,-0.123705
100405,Gillespie Primary School,Islington,43,3,51.559719,-0.101022
100406,Grafton Primary School,Islington,46.8,3.5,51.558381,0.139311
100407,Hanover Primary School,Islington,42.1,3.8,51.532949,-0.098722
100408,Hargrave Park Primary School,Islington,40,6.2,51.564283,-0.140077
100411,Laycock Primary School,Islington,44.4,5.1,51.544561,-0.105506
100415,Moreland Primary School,Islington,46.1,5.7,51.528597,-0.099996
100418,Pakeman Primary School,Islington,44.5,4.5,51.559497,-0.114563
100425,Thornhill Primary School,Islington,39.9,4.2,51.540333,-0.109486
100426,Vittoria Primary School,Islington,43.3,4.5,51.535294,-0.113228
100428,Winton Primary School,Islington,49.4,4.1,51.532667,-0.118011
100429,Yerbury Primary School,Islington,37.1,2.7,51.560057,-0.131622
